Temp = 0 °C, Humidity = 0 %, Pressure = 0 hPa
Temp = 30 °C, Humidity = 70 %, Pressure = 0 hPa
Temp = 24 °C, Humidity = 76 %, Pressure = 0 hPa
Temp = 23 °C, Humidity = 76 %, Pressure = 0 hPa
Temp = 27 °C, Humidity = 70 %, Pressure = 0 hPa
Temp = 23 °C, Humidity = 70 %, Pressure = 0 hPa
Temp = 27 °C, Humidity = 97 %, Pressure = 0 hPa
Temp = 28 °C, Humidity = 97 %, Pressure = 0 hPa
Temp = 41 °C, Humidity = 71 %, Pressure = 0 hPa
Temp = 19 °C, Humidity = 71 %, Pressure = 999 hPa
Temp = 27 °C, Humidity = 53 %, Pressure = 999 hPa
Temp = 39 °C, Humidity = 53 %, Pressure = 999 hPa
Temp = 27 °C, Humidity = 90 %, Pressure = 990 hPa
Temp = 27 °C, Humidity = 90 %, Pressure = 990 hPa
Temp = 21 °C, Humidity = 50 %, Pressure = 990 hPa
Temp = 27 °C, Humidity = 50 %, Pressure = 1006 hPa
Temp = 29 °C, Humidity = 21 %, Pressure = 1006 hPa
Temp = 36 °C, Humidity = 21 %, Pressure = 1006 hPa
Temp = 45 °C, Humidity = 36 %, Pressure = 1095 hPa
Temp = 35 °C, Humidity = 36 %, Pressure = 1095 hPa
Temp = 42 °C, Humidity = 65 %, Pressure = 1095 hPa
Temp = 18 °C, Humidity = 65 %, Pressure = 900 hPa
Temp = 40 °C, Humidity = 25 %, Pressure = 900 hPa
Temp = 44 °C, Humidity = 25 %, Pressure = 900 hPa
Temp = 32 °C, Humidity = 30 %, Pressure = 934 hPa
Temp = 38 °C, Humidity = 30 %, Pressure = 934 hPa
Temp = 35 °C, Humidity = 58 %, Pressure = 934 hPa
Temp = 29 °C, Humidity = 58 %, Pressure = 1027 hPa
Temp = 32 °C, Humidity = 61 %, Pressure = 1027 hPa
Temp = 25 °C, Humidity = 61 %, Pressure = 1027 hPa
Temp = 34 °C, Humidity = 98 %, Pressure = 1027 hPa
Temp = 23 °C, Humidity = 98 %, Pressure = 1027 hPa
